,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Hand,Education,Only child,Home Town Type,Home Type
10,5,3,1,2,1,4,3,3,5,4,2,3,1,1,4,3,2,1,2,5,1,5,4,3,1,4,5,3,3,1,1,4,4,4,1,1,3,2,1,5,5,5,3,5,5,2,3,1,1,5,3,4,1,5,3,4,3,2,3,2,4,1,2,1,1,1,1,1,3,1,5,2,2,tried smoking,social drinker,3,4,3,5,4,5,1,5,5,4,4,3,1,2,5,5,5,2,5,5,3,2,5,5,5,2,5,3,1,3,2,3,late,only to avoid hurting someone,2,1,4,4,2,3,4,5,5,5,3,3,2,5,4,3,4,3,1,3,2,4,2,few hours a day,4,1,1,2,3,2,3,24,168,55,10,female,right,college/bachelor degree,no,city,block of flats
11,5,3,5,3,2,1,5,5,2,1,1,2,1,3,2,1,3,1,1,5,3,2,5,5,2,1,5,4,2,1,3,2,2,1,1,1,3,3,3,1,1,4,1,5,1,1,1,3,1,5,3,3,1,3,3,1,5,5,2,3,5,4,5,2,3,3,4,3,4,3,2,1,3,never smoked,social drinker,3,5,3,3,2,3,3,5,4,3,3,3,2,2,5,3,5,5,1,4,2,3,5,5,2,3,3,2,3,4,1,3,early,only to avoid hurting someone,3,2,3,5,3,4,3,3,2,3,4,5,3,4,4,4,5,4,2,5,5,3,2,few hours a day,3,5,2,3,4,3,3,19,165,55,1,female,right,secondary school,no,city,block of flats
12,5,3,2,1,1,2,3,4,5,2,5,3,4,4,4,4,1,1,1,4,1,3,5,4,1,1,5,5,3,1,4,2,5,1,1,1,4,2,3,2,1,4,1,3,1,1,1,4,2,3,1,1,5,3,1,5,5,5,2,4,5,1,5,5,5,3,3,2,5,1,5,5,3,current smoker,social drinker,1,4,5,5,2,5,5,5,4,1,5,4,1,4,5,5,5,5,5,5,1,5,5,4,2,1,5,1,5,4,3,5,early,only to avoid hurting someone,3,1,4,4,1,4,5,5,1,4,2,3,3,5,5,4,1,4,3,1,2,4,3,most of the day,5,3,1,5,5,1,4,22,175,57,1,female,right,college/bachelor degree,no,city,block of flats
13,5,3,3,1,1,1,2,4,4,1,3,2,3,2,3,1,1,4,1,5,3,3,5,3,2,2,2,2,4,1,2,1,1,1,1,1,5,2,1,4,1,1,1,3,5,1,1,1,2,5,2,2,1,5,1,1,3,4,2,1,5,4,5,1,3,5,4,5,3,1,2,5,4,current smoker,drink a lot,3,2,3,2,5,5,5,2,3,5,4,5,3,3,5,2,3,4,1,5,3,3,5,2,2,5,3,5,4,3,1,4,on time,everytime it suits me,3,4,3,4,3,3,2,2,3,3,4,4,3,4,4,4,2,3,2,4,4,3,1,few hours a day,3,4,4,3,3,3,3,19,175,65,2,female,right,college/bachelor degree,no,city,block of flats
14,5,3,5,4,3,4,5,5,4,4,3,4,4,4,4,4,4,4,3,5,2,4,5,4,5,5,4,4,5,5,5,3,5,3,5,5,5,5,3,3,3,3,1,4,2,1,2,1,1,3,3,1,1,3,3,1,1,2,5,1,3,1,4,1,1,1,1,1,1,1,1,1,2,tried smoking,social drinker,4,2,4,3,4,5,3,4,5,3,5,3,2,1,3,1,2,5,1,4,3,1,2,5,4,4,3,4,5,3,1,2,early,only to avoid hurting someone,3,4,3,4,3,2,4,3,3,1,5,5,3,1,3,3,4,3,2,2,4,3,2,few hours a day,4,2,4,4,4,5,4,18,181,78,2,male,right,secondary school,no,city,house/bungalow
15,5,4,3,3,2,4,2,2,4,5,2,1,4,5,4,3,4,3,2,3,1,4,4,2,3,5,4,4,5,2,5,2,3,3,3,2,5,5,4,2,1,3,4,4,2,1,4,2,1,4,1,5,1,4,2,1,3,3,4,2,5,3,1,3,2,2,4,4,2,2,2,2,3,former smoker,drink a lot,3,3,1,1,1,4,1,4,5,3,4,3,1,3,4,3,3,5,1,5,2,1,1,5,2,5,3,3,1,4,1,4,on time,only to avoid hurting someone,2,4,4,3,2,2,4,3,1,2,4,3,2,1,4,3,4,5,1,5,4,2,3,few hours a day,2,3,4,4,3,3,3,18,188,90,1,male,left,secondary school,no,city,house/bungalow
16,5,3,3,2,3,4,3,2,5,5,4,4,3,5,4,5,3,3,4,5,5,5,5,3,3,4,3,3,3,2,4,5,3,4,2,3,5,4,2,4,4,3,3,4,4,2,5,2,1,5,1,5,3,5,5,2,2,1,5,2,4,3,3,2,2,2,2,2,2,2,1,1,2,never smoked,never,2,3,2,3,3,2,1,2,4,2,1,3,1,4,2,5,4,3,1,3,2,4,5,5,2,4,3,3,3,4,2,3,early,only to avoid hurting someone,3,4,3,3,4,3,4,3,3,3,4,3,3,4,3,4,4,3,4,3,5,3,4,few hours a day,2,3,3,2,2,4,4,20,186,77,1,male,right,secondary school,no,city,block of flats
17,5,5,1,1,3,2,2,2,5,5,4,1,2,1,4,3,2,1,2,5,5,5,5,2,5,3,3,4,5,2,5,4,4,4,3,1,5,5,5,3,1,1,5,4,2,1,1,2,1,4,1,2,4,5,3,3,1,1,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,tried smoking,social drinker,3,4,1,1,3,2,1,4,4,2,3,4,2,3,1,5,3,2,1,1,1,2,5,3,4,5,1,1,3,4,1,3,early,sometimes,3,5,2,3,3,4,2,5,5,4,5,1,5,2,4,5,5,3,1,5,5,3,4,few hours a day,2,1,1,1,1,2,2,24,186,85,1,male,left,secondary school,no,city,block of flats
18,5,3,4,2,2,2,4,4,5,2,3,3,3,3,3,1,4,1,1,5,2,4,5,5,4,3,5,5,3,2,2,2,2,3,2,3,4,3,2,5,5,5,3,4,4,2,3,2,2,3,5,5,3,2,4,3,3,4,3,5,5,3,5,2,4,5,3,3,3,2,3,3,3,tried smoking,social drinker,3,3,1,4,2,3,3,4,4,2,3,4,3,1,4,5,5,5,1,3,1,2,5,3,3,5,4,4,2,4,2,3,late,sometimes,3,2,4,3,2,2,4,4,1,4,4,3,4,4,4,2,3,4,5,5,3,2,4,few hours a day,2,3,4,3,4,2,4,20,168,54,3,female,right,secondary school,no,city,block of flats
19,5,2,3,1,1,4,3,3,5,5,5,1,1,1,2,3,2,3,4,5,4,2,5,5,2,2,2,2,3,1,4,4,5,5,2,1,5,4,2,3,2,4,4,5,4,5,3,4,2,5,5,4,3,4,5,3,4,5,5,5,5,3,3,1,1,2,1,5,5,4,5,5,5,tried smoking,never,4,5,2,5,4,5,2,3,5,1,5,2,2,5,3,5,4,5,2,5,2,3,5,5,4,5,5,5,4,2,3,2,early,only to avoid hurting someone,1,2,4,5,4,3,1,5,5,5,5,5,5,5,2,4,1,3,4,5,5,4,5,few hours a day,3,5,5,4,5,5,5,19,167,51,1,female,right,secondary school,no,city,block of flats
20,5,3,4,2,1,2,3,5,1,1,1,3,1,2,1,1,4,2,1,5,1,2,5,5,1,1,4,3,3,1,1,2,2,1,3,1,5,2,5,1,1,4,2,5,1,3,1,2,1,2,4,1,1,3,4,1,5,5,1,3,5,1,3,3,2,2,3,5,2,1,4,4,2,tried smoking,social drinker,3,3,3,5,2,4,1,5,4,5,4,3,2,1,5,2,5,3,1,3,1,3,4,4,2,4,3,5,2,4,1,4,on time,sometimes,2,3,4,4,2,2,2,4,4,4,3,4,4,5,4,3,1,3,2,2,2,4,3,few hours a day,2,5,1,3,3,1,2,20,170,56,1,female,right,secondary school,yes,city,block of flats
21,5,5,5,5,4,5,3,4,4,3,2,2,1,3,5,3,5,2,2,5,3,2,5,4,2,5,5,5,5,2,1,3,3,1,2,3,5,2,1,5,5,4,3,3,2,1,4,2,4,5,3,2,2,4,5,5,4,4,3,1,4,4,5,1,1,1,1,1,2,1,2,2,3,tried smoking,social drinker,3,3,4,4,4,5,4,4,4,3,5,5,2,1,4,5,5,4,2,4,3,4,5,5,4,5,2,3,5,4,3,4,early,sometimes,4,4,4,3,3,3,3,5,4,2,4,5,3,4,4,3,5,4,3,4,5,5,4,few hours a day,5,4,4,4,4,4,3,22,165,63,1,female,left,college/bachelor degree,no,city,house/bungalow
22,5,3,5,1,1,1,1,3,4,1,3,5,2,1,4,3,2,3,1,5,3,3,5,3,1,5,4,4,3,4,4,5,1,1,1,2,5,2,1,1,1,1,4,4,2,3,5,1,1,3,3,1,1,5,5,1,3,5,3,1,5,4,3,1,1,2,4,4,4,3,4,1,2,former smoker,social drinker,5,4,3,4,3,4,2,4,4,4,2,4,2,5,2,3,2,5,2,5,1,4,3,4,3,5,3,1,2,4,2,5,on time,sometimes,3,5,2,5,4,2,4,4,5,1,5,4,4,1,5,5,5,5,2,5,5,3,1,few hours a day,3,4,5,3,4,1,5,20,187,80,2,male,left,secondary school,yes,village,house/bungalow
23,5,4,3,4,2,3,3,3,4,1,3,3,4,3,4,3,4,3,2,5,3,2,5,5,2,4,5,5,4,2,2,5,4,2,2,2,4,3,4,4,2,5,3,5,3,2,2,4,2,5,4,2,2,5,4,3,4,4,3,4,5,3,2,3,3,4,5,5,5,5,5,5,3,tried smoking,social drinker,3,4,5,5,5,5,2,3,4,2,5,4,2,2,4,3,5,4,2,5,1,4,5,5,3,5,4,3,4,3,2,4,late,sometimes,3,3,4,5,4,3,4,4,4,4,4,5,5,5,4,4,2,4,3,4,4,3,3,few hours a day,4,3,1,4,3,2,4,19,168,60,2,female,right,secondary school,no,village,block of flats
24,4,3,4,3,3,3,3,4,4,2,2,4,3,4,3,3,3,3,3,5,2,5,4,3,4,4,3,3,4,3,5,2,3,3,1,1,4,3,3,3,1,4,4,4,4,4,4,2,2,4,1,1,1,1,5,1,2,4,4,2,5,4,3,1,1,1,3,5,3,3,4,3,4,former smoker,drink a lot,3,1,2,2,1,3,3,4,4,5,5,4,2,5,3,1,3,3,1,2,2,4,4,4,2,5,4,3,5,3,2,4,on time,everytime it suits me,2,3,3,4,3,3,5,3,4,3,3,3,5,3,4,3,3,3,2,3,4,3,3,few hours a day,2,3,5,4,4,4,4,25,183,87,1,male,right,secondary school,no,city,block of flats
25,4,3,4,1,3,2,3,5,3,1,1,3,3,2,1,1,5,1,2,4,1,1,5,5,2,2,5,5,4,1,1,4,4,2,2,2,3,2,2,2,2,5,5,4,1,1,3,4,1,5,4,1,2,3,1,3,1,2,1,3,4,2,1,1,1,1,1,2,5,3,1,3,2,tried smoking,social drinker,3,3,3,4,3,4,4,4,5,2,3,1,2,1,4,4,2,3,1,5,2,3,4,5,2,3,2,3,5,3,2,3,on time,sometimes,3,3,4,3,3,2,1,4,4,3,3,4,3,4,4,4,3,3,3,3,3,3,2,less than an hour a day,4,3,3,2,2,2,2,22,177,80,1,female,right,secondary school,no,city,block of flats
26,5,5,3,1,3,2,3,3,4,3,4,4,2,2,4,4,2,3,1,5,5,5,5,5,2,3,5,5,3,2,4,4,5,3,1,1,5,4,3,1,1,3,3,3,1,2,3,4,2,2,1,2,1,2,2,1,4,5,3,3,5,1,5,3,5,5,5,5,5,5,1,5,2,current smoker,social drinker,3,3,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,5,1,5,1,1,5,5,1,5,1,1,3,3,1,5,on time,only to avoid hurting someone,2,5,2,2,4,2,3,3,4,1,3,4,3,3,4,5,1,4,1,5,5,3,3,few hours a day,1,3,1,4,5,1,1,20,158,46,4,female,left,secondary school,no,city,block of flats
27,5,4,2,2,3,4,5,4,3,1,1,1,3,4,4,3,2,1,5,4,3,4,4,3,1,3,5,4,5,2,3,5,3,5,2,1,5,4,4,4,3,5,5,5,5,4,1,5,1,5,3,3,1,5,4,4,3,3,3,4,5,5,5,1,5,2,4,4,5,3,1,2,4,tried smoking,social drinker,4,5,2,2,3,1,1,5,5,2,4,4,2,2,1,5,5,5,2,4,2,3,4,5,3,4,2,1,1,4,4,4,early,sometimes,3,5,3,3,3,5,1,4,5,2,5,4,5,4,5,5,2,3,4,1,5,4,2,few hours a day,2,2,2,1,1,2,4,27,170,70,1,female,right,masters degree,no,city,block of flats
28,5,4,3,2,1,3,4,4,5,3,4,2,3,3,4,4,2,1,1,5,2,3,5,4,4,2,2,5,3,1,5,4,5,4,3,1,5,4,4,3,1,3,2,5,3,2,5,3,5,5,2,3,2,5,3,1,1,3,5,3,5,5,1,1,2,2,1,2,2,2,1,2,3,tried smoking,social drinker,3,5,3,1,5,3,5,4,4,4,5,5,1,1,3,5,4,3,1,2,2,3,1,3,2,2,2,4,5,4,4,4,early,sometimes,4,3,2,3,4,3,3,3,4,1,4,4,4,1,3,5,3,3,5,2,3,2,2,few hours a day,3,3,4,3,3,1,2,20,177,67,5,male,right,college/bachelor degree,no,city,block of flats
29,5,3,3,3,1,4,5,5,3,1,1,4,3,1,3,3,5,1,1,5,1,2,5,5,3,4,1,1,1,1,5,1,1,1,1,1,5,3,1,1,1,5,3,5,1,5,4,2,3,3,4,1,1,3,3,3,3,4,2,5,5,2,5,3,5,3,3,4,5,4,5,5,1,tried smoking,social drinker,3,3,2,1,1,2,1,5,3,2,3,4,1,1,3,5,1,5,1,4,2,5,5,4,3,5,3,1,5,4,1,3,on time,sometimes,1,5,2,3,2,3,5,3,3,2,3,5,3,3,5,5,3,3,3,5,2,3,1,few hours a day,3,5,3,5,3,1,3,19,170,72,1,female,right,secondary school,no,village,house/bungalow
30,5,3,1,3,2,3,4,4,4,1,1,1,1,1,1,1,1,1,4,5,3,5,4,4,4,4,5,5,3,1,5,4,5,3,3,3,5,3,2,5,5,5,3,4,5,3,4,3,2,4,1,1,1,2,1,2,4,4,4,4,5,1,5,3,1,4,3,5,4,1,3,2,5,never smoked,social drinker,2,3,3,3,3,4,3,5,5,4,5,2,4,1,3,3,4,4,1,5,4,3,5,5,2,4,3,1,1,4,4,2,early,only to avoid hurting someone,2,3,4,4,1,3,4,5,2,3,1,5,2,4,4,3,3,4,3,2,3,5,4,few hours a day,5,4,4,4,3,2,3,18,173,65,1,female,right,secondary school,no,city,block of flats
31,5,5,5,3,1,5,2,5,4,1,2,4,5,2,2,1,3,4,4,5,1,4,5,5,3,3,5,5,5,2,5,3,4,4,3,2,5,2,5,5,1,5,3,5,4,3,1,4,2,4,5,3,5,3,4,4,2,4,3,3,5,1,5,3,4,2,4,5,1,1,1,3,2,tried smoking,social drinker,3,3,1,5,3,5,3,4,5,1,4,2,2,1,4,5,3,5,1,5,5,3,5,5,4,4,3,3,5,3,1,2,late,only to avoid hurting someone,3,4,3,5,1,1,4,5,1,2,1,5,3,4,3,1,2,4,5,4,2,4,3,few hours a day,5,5,1,1,1,1,1,23,168,60,1,female,right,secondary school,no,village,house/bungalow
32,5,3,3,3,2,2,3,5,5,4,4,1,2,1,5,2,1,2,2,4,5,5,5,5,3,4,5,5,4,2,3,4,1,1,1,1,5,2,2,3,5,3,3,1,5,1,4,1,3,5,1,2,1,5,5,2,2,4,5,2,3,3,5,3,3,2,2,5,5,5,3,4,4,never smoked,never,3,2,5,1,3,3,3,4,4,3,3,5,3,1,3,1,4,2,5,3,1,1,4,5,4,3,3,5,3,3,1,1,early,sometimes,2,3,4,4,3,3,2,3,3,3,4,5,5,5,3,5,3,4,2,2,5,3,4,few hours a day,3,5,3,1,3,3,2,21,155,46,1,female,right,secondary school,no,city,house/bungalow
33,4,3,4,1,1,1,1,5,1,1,1,3,2,1,1,1,2,3,1,5,1,5,5,3,2,1,2,2,4,1,5,2,1,1,2,1,5,4,3,2,1,1,3,3,2,2,1,1,1,3,1,1,1,3,1,1,5,5,3,1,2,1,2,1,3,5,3,5,2,5,3,5,3,never smoked,social drinker,4,4,1,1,2,4,3,5,3,4,2,3,3,3,2,1,3,4,3,3,1,4,4,3,3,3,3,3,2,4,3,3,early,only to avoid hurting someone,3,4,2,4,1,2,2,1,5,5,3,3,2,3,3,3,1,3,2,2,1,1,3,few hours a day,3,5,1,1,5,2,2,26,172,62,1,female,right,secondary school,no,city,block of flats
34,5,4,5,5,5,5,1,1,4,5,1,5,5,5,5,5,5,5,1,3,1,5,5,1,5,5,1,1,5,5,5,5,4,5,5,5,5,5,1,1,5,5,3,3,3,1,1,1,5,5,2,4,1,1,5,1,1,1,3,1,5,5,3,2,1,1,1,1,1,1,1,1,2,tried smoking,social drinker,4,3,1,4,4,5,1,3,4,5,1,4,1,1,3,1,5,3,1,4,1,1,1,1,1,2,1,1,3,4,1,3,late,never,3,5,2,3,5,2,5,4,3,3,2,3,5,2,5,4,5,3,1,2,4,3,3,few hours a day,3,1,1,1,1,1,3,20,188,80,3,male,right,college/bachelor degree,no,city,block of flats
35,5,5,2,2,2,3,4,5,5,4,4,3,3,3,3,4,3,3,1,5,4,4,5,5,5,3,5,5,4,3,5,2,5,1,5,1,5,5,5,5,2,3,2,5,4,3,3,2,2,3,1,2,1,3,1,1,2,4,4,2,5,3,5,1,1,3,1,5,1,1,1,3,5,never smoked,never,3,3,4,2,3,5,3,5,5,3,5,4,1,1,2,1,3,3,1,5,2,4,5,5,3,1,2,2,4,4,3,3,early,sometimes,5,4,1,3,2,2,1,3,2,2,4,4,4,2,4,3,1,4,5,3,4,2,2,few hours a day,5,4,1,2,2,4,3,19,170,90,0,female,right,secondary school,yes,city,block of flats
36,5,4,3,1,1,2,2,5,4,1,2,3,2,2,2,4,3,3,1,5,1,1,5,4,3,2,5,5,3,1,4,2,4,2,1,1,5,3,5,1,1,3,5,5,1,2,2,5,1,3,2,2,5,4,3,1,3,5,3,3,5,2,5,1,3,4,5,5,5,3,2,4,1,tried smoking,drink a lot,3,3,4,5,5,4,2,5,5,3,5,3,2,3,3,4,5,3,2,4,3,4,3,3,3,5,3,3,1,3,3,4,on time,only to avoid hurting someone,2,4,3,3,4,4,2,4,4,4,5,3,3,3,4,5,1,3,4,4,4,3,3,most of the day,3,5,5,5,5,5,5,20,163,55,1,female,right,college/bachelor degree,no,city,block of flats
